"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_tipo_programa_mov","des_tipo_programa_mov","cod_programa_movilidad","des_programa_movilidad","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","anio_nacimiento","cod_genero","des_genero","cod_nivel_formativo_origen","des_nivel_formativo_origen","cod_titulacion_origen","des_titulacion_origen","cod_universidad_destino","des_universidad_destino","cod_pais_univ_destino","des_pais_univ_destino","lat_pais_univ_destino","lon_pais_univ_destino","cod_continente_univ_destino","des_continente_univ_destino","cod_agregacion_paises_univ_destino","des_agregacion_paises_univ_destino","cod_municipio_destino","des_municipio_destino","cod_comunidad_destino","des_comunidad_destino","cod_provincia_destino","des_provincia_destino","lat_municipio_destino","lon_municipio_destino","cod_ambito_univ_destino","des_ambito_univ_destino","mes_inicio_programa","mes_fin_programa"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","UK LONDON134","REGENT'S COLLEGE LONDON","826","Reino Unido de Gran Bretaña e Irlanda del Norte","55.378051","-3.435973","150","Europa","154","Europa septentrional",,"LONDON",,,,,,,,,"092017","062018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"372","Irlanda","53.41291","-8.24389","150","Europa","154","Europa septentrional",,,,,,,,,,,"092017","092018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"156","China","35.86166","104.195397","142","Asia","030","Asia oriental",,,,,,,,,,,"092017","052018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","I PISA01","UNIVERSITÁ DI PISA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"PISA",,,,,,,,,"092017","042018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","A WIEN38","FACHHOCHSCHULE DES BFI WIEN GESELLSCHAFT M.B.H.","040","Austria","47.516231","14.550072","150","Europa","155","Europa occidental",,"WIEN",,,,,,,,,"092017","042018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"156","China","35.86166","104.195397","142","Asia","030","Asia oriental",,,,,,,,,,,"092017","052018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"372","Irlanda","53.41291","-8.24389","150","Europa","154","Europa septentrional",,,,,,,,,,,"092017","052018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS","S LINKOPI01","LINKÖPINGS UNIVERSITET","752","Suecia","60.128161","18.643501","150","Europa","154","Europa septentrional",,"LINKÖPING",,,,,,,,,"092017","042018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"840","Estados Unidos de América","37.09024","-95.712891","019","Américas","021","América septentrional",,,,,,,,,,,"092017","062018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2017-18","9",,"03","SICUE-SÉNECA","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","7000030","DOBLE GRADO DERECHO - ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS",,,"156","China","35.86166","104.195397","142","Asia","030","Asia oriental",,,,,,,,,,,"092017","062018"
