"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_tipo_programa_mov","des_tipo_programa_mov","cod_programa_movilidad","des_programa_movilidad","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","anio_nacimiento","cod_genero","des_genero","cod_nivel_formativo_origen","des_nivel_formativo_origen","cod_titulacion_origen","des_titulacion_origen","cod_universidad_destino","des_universidad_destino","cod_pais_univ_destino","des_pais_univ_destino","lat_pais_univ_destino","lon_pais_univ_destino","cod_continente_univ_destino","des_continente_univ_destino","cod_agregacion_paises_univ_destino","des_agregacion_paises_univ_destino","cod_municipio_destino","des_municipio_destino","cod_comunidad_destino","des_comunidad_destino","cod_provincia_destino","des_provincia_destino","lat_municipio_destino","lon_municipio_destino","cod_ambito_univ_destino","des_ambito_univ_destino","mes_inicio_programa","mes_fin_programa"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","M","Mujer","3","Grado","2501845","GRADO EN EDUCACIÓN INFANTIL",,,"484","México","23.634501","-102.552784","019","Américas","419","América Latina y el Caribe",,,,,,,,,"01","Educación","092018","122018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","M","Mujer","3","Grado","2501845","GRADO EN EDUCACIÓN INFANTIL","I BOLOGNA01","UNIVERSITÀ DI BOLOGNA - ALMA MATER STUDIORUM","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"BOLOGNA",,,,,,,"01","Educación","092018","022019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1993","M","Mujer","3","Grado","2501845","GRADO EN EDUCACIÓN INFANTIL","SI LJUBLJA01","UNIVERZA V LJUBLJANI","705","Eslovenia","46.151241","14.995463","150","Europa","039","Europa meridional",,"LJUBLJANA",,,,,,,"01","Educación","092018","092019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","2","Estudios + prácticas","03","SICUE-SÉNECA","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1997","M","Mujer","3","Grado","2501845","GRADO EN EDUCACIÓN INFANTIL","I MODENA01","UNIVERSITA' DEGLI STUDI DI MODENA E REGGIO EMILIA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"MODENA",,,,,,,"01","Educación","092018","022019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","03","SICUE-SÉNECA","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","M","Mujer","3","Grado","2501845","GRADO EN EDUCACIÓN INFANTIL","017","Universidad de Sevilla","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","41091","SEVILLA","1","Andalucía","41","Sevilla","37.38264","-5.996295","01","Educación","092018","062019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1997","M","Mujer","3","Grado","2501845","GRADO EN EDUCACIÓN INFANTIL","SI LJUBLJA01","UNIVERZA V LJUBLJANI","705","Eslovenia","46.151241","14.995463","150","Europa","039","Europa meridional",,"LJUBLJANA",,,,,,,"01","Educación","092018","022019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1986","M","Mujer","3","Grado","2501845","GRADO EN EDUCACIÓN INFANTIL","017","Universidad de Sevilla","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","41091","SEVILLA","1","Andalucía","41","Sevilla","37.38264","-5.996295","03","Ciencias sociales, periodismo y documentación","092018","092019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1998","M","Mujer","3","Grado","2501846","GRADO EN EDUCACIÓN PRIMARIA","SI LJUBLJA01","UNIVERZA V LJUBLJANI","705","Eslovenia","46.151241","14.995463","150","Europa","039","Europa meridional",,"LJUBLJANA",,,,,,,"01","Educación","092018","122018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1994","M","Mujer","3","Grado","2501846","GRADO EN EDUCACIÓN PRIMARIA","I SALERNO01","UNIVERSITA' DEGLI STUDI DI SALERNO","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"FISCIANO (SALERNO)",,,,,,,"01","Educación","092018","012019"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","049","Universidad de Huelva","2018-19","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1997","M","Mujer","3","Grado","2501846","GRADO EN EDUCACIÓN PRIMARIA","F CAEN01","UNIVERSITE DE CAEN BASSE-NORMANDIE","250","Francia","46.227638","2.213749","150","Europa","155","Europa occidental",,"CAEN CEDEX 5",,,,,,,"01","Educación","092018","122018"
