"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_tipo_programa_mov","des_tipo_programa_mov","cod_programa_movilidad","des_programa_movilidad","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","anio_nacimiento","cod_genero","des_genero","cod_nivel_formativo_destino","des_nivel_formativo_destino","cod_universidad_procedencia","des_universidad_procedencia","cod_ambito_univ_procedencia","des_ambito_univ_procedencia","cod_municipio_univ_procedencia","des_municipio_univ_procedencia","cod_pais_univ_procedencia","des_pais_univ_procedencia","lat_pais_univ_procedencia","lon_pais_univ_procedencia","cod_continente_univ_procedencia","des_continente_univ_procedencia","cod_agregacion_paises_univ_procedencia","des_agregacion_paises_univ_procedencia","cod_municipio_destino","des_municipio_destino","cod_comunidad_destino","des_comunidad_destino","cod_provincia_destino","des_provincia_destino","lat_municipio_destino","lon_municipio_destino","cod_ambito_univ_destino","des_ambito_univ_destino","mes_inicio_programa","mes_fin_programa"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE",,,,,"019","Américas","419","América Latina y el Caribe","1994","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"019","Américas","419","América Latina y el Caribe","28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"092020","042021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE",,,,,"019","Américas","419","América Latina y el Caribe","1993","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,"019","Américas","419","América Latina y el Caribe","28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"092020","022021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","818","Egipto","26.820553","30.802498","002","África","015","África septentrional","1998","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,,,,,"28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"092020","072021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","620","Portugal","39.399872","-8.224454","150","Europa","039","Europa meridional","1994","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,,,,,"28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"102020","022021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","01","ERASMUS","410","República de Corea","35.907757","127.766922","142","Asia","030","Asia oriental","1998","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,,,,,"28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"092020","022021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","788","Túnez","33.886917","9.537499","002","África","015","África septentrional","1995","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,,,,,"28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"022021","062021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","788","Túnez","33.886917","9.537499","002","África","015","África septentrional","1999","H","Hombre","1","Grado, Ciclos",,,,,,,,,,,,,,,"28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"022021","072021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","250","Francia","46.227638","2.213749","150","Europa","155","Europa occidental","1998","M","Mujer","1","Grado, Ciclos",,,,,,,,,,,,,,,"28007","ALCORCÓN","13","Madrid","28","Madrid","40.34912","-3.828811",,,"042021","062021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","788","Túnez","33.886917","9.537499","002","África","015","África septentrional","2000","M","Mujer","1","Grado, Ciclos",,,,,,,,,,,,,,,"28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"022021","062021"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2020-21","1","Estudios y/o proyecto fin de grado","01","ERASMUS","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional","1999","M","Mujer","1","Grado, Ciclos",,,,,,,,,,,,,,,"28079","MADRID","13","Madrid","28","Madrid","40.41669","-3.700346",,,"022021","072021"
