"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_tipo_programa_mov","des_tipo_programa_mov","cod_programa_movilidad","des_programa_movilidad","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","anio_nacimiento","cod_genero","des_genero","cod_nivel_formativo_origen","des_nivel_formativo_origen","cod_titulacion_origen","des_titulacion_origen","cod_universidad_destino","des_universidad_destino","cod_pais_univ_destino","des_pais_univ_destino","lat_pais_univ_destino","lon_pais_univ_destino","cod_continente_univ_destino","des_continente_univ_destino","cod_agregacion_paises_univ_destino","des_agregacion_paises_univ_destino","cod_municipio_destino","des_municipio_destino","cod_comunidad_destino","des_comunidad_destino","cod_provincia_destino","des_provincia_destino","lat_municipio_destino","lon_municipio_destino","cod_ambito_univ_destino","des_ambito_univ_destino","mes_inicio_programa","mes_fin_programa"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","H","Hombre","3","Grado","2500089","GRADO EN PERIODISMO",,,"840","Estados Unidos de América","37.09024","-95.712891","019","Américas","021","América septentrional",,,,,,,,,,,"092017","012018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","H","Hombre","3","Grado","2500089","GRADO EN PERIODISMO","B MONS21","UNIVERSITÉ DE MONS","056","Bélgica","50.503887","4.469936","150","Europa","155","Europa occidental",,"MONS",,,,,,,,,"092017","072018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","01","ERASMUS","642","Rumania","45.943161","24.96676","150","Europa","151","Europa oriental","1995","H","Hombre","3","Grado","2500089","GRADO EN PERIODISMO","F CLERMON48","UNIVERSITÉ CLERMONT AUVERGNE","250","Francia","46.227638","2.213749","150","Europa","155","Europa occidental",,"CLERMONT-FERRAND",,,,,,,,,"092017","022018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","03","SICUE-SÉNECA","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","H","Hombre","3","Grado","2500089","GRADO EN PERIODISMO","018","Universitat de València (Estudi General)","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","46250","VALÈNCIA","10","Valencia","46","Valencia/València","39.46997","-0.376286",,,"092017","032018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","84","Otras Fuera de la UE","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1987","H","Hombre","3","Grado","2500089","GRADO EN PERIODISMO","I PERUGIA01","UNIVERSITA' DEGLI STUDI DI PERUGIA","380","Italia","41.87194","12.56738","150","Europa","039","Europa meridional",,"PERUGIA",,,,,,,,,"092017","072018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","01","ERASMUS","100","Bulgaria","42.733883","25.48583","150","Europa","151","Europa oriental","1997","M","Mujer","3","Grado","2500089","GRADO EN PERIODISMO","017","Universidad de Sevilla","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","41091","SEVILLA","1","Andalucía","41","Sevilla","37.38264","-5.996295",,,"092017","022018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1997","M","Mujer","3","Grado","2500089","GRADO EN PERIODISMO","F CLERMON48","UNIVERSITÉ CLERMONT AUVERGNE","250","Francia","46.227638","2.213749","150","Europa","155","Europa occidental",,"CLERMONT-FERRAND",,,,,,,,,"092017","072018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1996","M","Mujer","3","Grado","2500089","GRADO EN PERIODISMO","A WIEN21","FACHHOCHSCHUL-STUDIENGANGE BETRIEBS- UND FORSCHUNGSEINRICHTUNGEN DER WIENER WIRTSCHAFT GMBH","040","Austria","47.516231","14.550072","150","Europa","155","Europa occidental",,"VIENNA",,,,,,,,,"092017","022018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","M","Mujer","3","Grado","2500089","GRADO EN PERIODISMO","007","Universidad de Santiago de Compostela","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","15078","SANTIAGO DE COMPOSTELA","12","Galicia","15","A Coruña","42.88045","-8.546304",,,"092017","072018"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","056","Universidad Rey Juan Carlos","2017-18","1","Estudios y/o proyecto fin de grado","01","ERASMUS","724","España","40.463667","-3.74922","150","Europa","039","Europa meridional","1995","M","Mujer","3","Grado","2500089","GRADO EN PERIODISMO","F TOULOUS01","UNIVERSITE TOULOUSE 1 SCIENCES SOCIALES","250","Francia","46.227638","2.213749","150","Europa","155","Europa occidental",,"TOULOUSE",,,,,,,,,"092017","032018"
